opportunity_name,funder_name,program_name,source_type,country,province_or_territory,sector,beneficiary_group,organization_type,maximum_amount,deadline,status,source_url,short_summary,best_fit_orgs,notes,last_verified_on
FedDev Ontario,Government of Canada,FedDev Ontario Funding,Regional development agency,Canada,Ontario,Economic development,Regional communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/feddev-ontario.html,Regional economic development and innovation support in southern Ontario,Ecosystem organizations regional nonprofits and local development bodies,Review live initiatives because named programs change over time,2026-04-24
Atlantic Canada Opportunities Agency,Government of Canada,ACOA Programs,Regional development agency,Canada,Atlantic Canada,Economic development,Regional communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/atlantic-canada-opportunities.html,Regional growth and diversification support in Atlantic Canada,Community organizations entrepreneurship support groups and ecosystem builders in Atlantic Canada,Good source for place-based development work,2026-04-24
PrairiesCan,Government of Canada,PrairiesCan Funding,Regional development agency,Canada,Alberta Saskatchewan Manitoba,Economic development,Regional communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/prairies-economic-development/services/funding.html,Supports regional development and diversification across the Prairies,Regional nonprofits and economic development organizations,Check province relevance and current streams,2026-04-24
PacifiCan,Government of Canada,PacifiCan Funding,Regional development agency,Canada,British Columbia,Economic development,Regional communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/pacific-economic-development/services/funding.html,Regional development and innovation support in British Columbia,BC-based nonprofits and ecosystem organizations,Useful when programs connect to regional growth or innovation,2026-04-24
Canada Economic Development for Quebec Regions,Government of Canada,CED Quebec Programs,Regional development agency,Canada,Quebec,Economic development,Regional communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/economic-development-quebec-regions.html,Regional support for economic development and innovation in Quebec,Quebec organizations with economic or ecosystem development mandates,Best for regionally oriented nonprofit initiatives,2026-04-24
Canadian Northern Economic Development Agency,Government of Canada,CanNor Funding,Regional development agency,Canada,Northern Canada,Economic development,Northern and Indigenous communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/northern-economic-development.html,Community and economic development support in northern territories,Northern and Indigenous-serving organizations,Critical source for northern community development work,2026-04-24
Ontario Trillium Foundation,Ontario Trillium Foundation,Grow Grant,Provincial government,Canada,Ontario,Community development,General community impact,Nonprofit or charity,200000,Varies,Open,https://otf.ca/our-grants/community-investments-grants/grow-grant,Supports established community programs with multi-year funding,Ontario nonprofits with program maturity and measurable community outcomes,Monitor stream details because criteria evolve,2026-04-24
Ontario Trillium Foundation,Ontario Trillium Foundation,Seed Grant,Provincial government,Canada,Ontario,Community development,General community impact,Nonprofit or charity,100000,Varies,Open,https://otf.ca/our-grants/community-investments-grants/seed-grant,Helps organizations test new ideas or early-stage initiatives,Ontario nonprofits piloting a new program or approach,Good entry stream for innovation and experimentation,2026-04-24
Ontario Government Funding Opportunities,Government of Ontario,Available Funding Opportunities,Provincial government,Canada,Ontario,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://www.ontario.ca/page/available-funding-opportunities-ontario-government,Province-wide entry point for public funding opportunities,Ontario-based nonprofits across sectors,Use as a broad search source beyond any single ministry,2026-04-24
Community Foundations of Canada,Community Foundations of Canada,Community Foundation Network,Community foundation,Canada,National,Community development,Local communities,Nonprofit or charity,,Varies,Open,https://communityfoundations.ca/,Directory and network entry point for local community foundations,Place-based nonprofits seeking local funders,Use to locate the community foundation nearest your service area,2026-04-24
Environment and Climate Change Canada,Government of Canada,Environment Funding Programs,Federal department,Canada,National,Climate and environment,Communities ecosystems and land stewardship,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/environment-climate-change/services/funding.html,Funding source for conservation restoration and environmental initiatives,Environmental nonprofits and stewardship groups,Useful for land water biodiversity and education programs,2026-04-24
Health Canada,Government of Canada,Grants and Contributions,Federal department,Canada,National,Health and wellbeing,Public health communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/health-canada/corporate/about-health-canada/grants-contributions.html,Public health and community wellbeing funding source,Health nonprofits prevention programs and harm reduction initiatives,Relevant for health equity and prevention work,2026-04-24
Public Safety Canada,Government of Canada,Funding Programs,Federal department,Canada,National,Community safety,At-risk communities and victims,Nonprofit or charity,,Varies,Open,https://www.publicsafety.gc.ca/cnt/bt/fndng-prgrms-en.aspx,Supports crime prevention victim services and resilience initiatives,Organizations focused on community safety and prevention,Strong fit for safety and prevention programming,2026-04-24
SSHRC,Government of Canada,Funding Opportunities,Research council,Canada,National,Research and knowledge mobilization,Communities and researchers,Nonprofit or charity,,Varies,Open,https://www.sshrc-crsh.gc.ca/funding-financement/index-eng.aspx,Research partnership source when nonprofits collaborate with academic institutions,Nonprofits partnering with colleges or universities,Useful for evidence-building and community research,2026-04-24
CIHR,Government of Canada,Funding Opportunities,Research council,Canada,National,Health research,Communities and researchers,Nonprofit or charity,,Varies,Open,https://cihr-irsc.gc.ca/e/193.html,Health research funding source with partnership potential,Health nonprofits and community research collaborations,Best where evidence building or pilot research is central,2026-04-24
Canadian Red Cross,Canadian Red Cross,Community Funding and Programs,Foundation,Canada,National,Community resilience,Communities in crisis or recovery,Nonprofit or charity,,Varies,Open,https://www.redcross.ca/,Occasional funding and partnership opportunities tied to resilience and recovery,Organizations aligned with emergency preparedness or recovery support,Monitor partnership and grant announcements rather than assuming constant open calls,2026-04-24
United Way,United Way Local Offices,Community Investment Programs,Foundation,Canada,Regional,Community development,Local vulnerable populations,Nonprofit or charity,,Varies,Open,https://www.unitedway.ca/,Community investment opportunities through local United Way entities,Local nonprofits aligned with poverty reduction youth and social wellbeing,Track local office timelines because each United Way operates differently,2026-04-24
Vancouver Foundation,Vancouver Foundation,Grant Programs,Foundation,Canada,British Columbia,Community development,BC communities,Nonprofit or charity,,Varies,Open,https://www.vancouverfoundation.ca/grants/,Major community foundation and grantmaker in British Columbia,BC nonprofits and charities with community impact programs,Review program streams and intake windows carefully,2026-04-24
Calgary Foundation,Calgary Foundation,Grant Programs,Community foundation,Canada,Alberta,Community development,Calgary communities,Nonprofit or charity,,Varies,Open,https://calgaryfoundation.org/grants/,Community foundation source for Calgary-area nonprofits,Organizations serving Calgary and surrounding communities,Useful for local initiatives and community impact work,2026-04-24
Toronto Foundation,Toronto Foundation,Vital Signs and Community Grants,Community foundation,Canada,Ontario,Community development,Toronto communities,Nonprofit or charity,,Varies,Open,https://torontofoundation.ca/,Place-based philanthropic source for Toronto-focused community organizations,Toronto-serving nonprofits and civic groups,Check current community initiatives and partnerships,2026-04-24
Gouvernement du Quebec Subventions et aide financiere,Government of Quebec,Subventions et aide financiere,Provincial government,Canada,Quebec,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://www.quebec.ca/gouvernement/finances-impots-budget/subventions-aide-financiere,Province-wide entry point for Quebec public funding programs,Quebec-based nonprofits across sectors,Use for cross-ministry discovery before targeting specific programs,2026-04-28
Conseil des arts et des lettres du Quebec,Conseil des arts et des lettres du Quebec,Programmes de bourses et subventions,Provincial arts council,Canada,Quebec,Arts and culture,Artists and arts organizations,Arts nonprofit,,Varies,Open,https://www.calq.gouv.qc.ca/aides/,Quebec arts and letters provincial funding source,Quebec artists writers and arts organizations,Strong source for francophone and Quebec-based arts work,2026-04-28
Government of Alberta Grants and Funding,Government of Alberta,Grants and Funding Programs,Provincial government,Canada,Alberta,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://www.alberta.ca/grants-and-funding,Alberta-wide directory of provincial funding opportunities,Alberta-based nonprofits and community organizations,Filter by ministry to find sector-relevant streams,2026-04-28
Alberta Foundation for the Arts,Alberta Foundation for the Arts,Grant Programs,Provincial arts council,Canada,Alberta,Arts and culture,Artists and arts audiences,Arts nonprofit,,Varies,Open,https://www.affta.ab.ca/funding/grant-programs,Provincial arts funding source for Alberta,Alberta arts organizations and individual artists,Multiple disciplines covered with separate intake windows,2026-04-28
BC Community Gaming Grants,Government of British Columbia,Community Gaming Grants,Provincial government,Canada,British Columbia,Multi-sector,BC communities,Nonprofit or charity,250000,Annual,Open,https://www2.gov.bc.ca/gov/content/sports-culture/gambling-fundraising/gaming-grants/community-gaming-grants,Annual grants from provincial gaming revenue for BC nonprofits,Registered BC nonprofits delivering community programs,Sector-based intake windows reset each fiscal year,2026-04-28
BC Arts Council,BC Arts Council,Funding Programs,Provincial arts council,Canada,British Columbia,Arts and culture,Artists and arts organizations,Arts nonprofit,,Varies,Open,https://www.bcartscouncil.ca/funding/,BC provincial arts funder with multiple program streams,BC arts organizations Indigenous arts groups and individual artists,Track program-specific deadlines rather than as a single grant,2026-04-28
Government of Manitoba Funding Programs,Government of Manitoba,Grants and Funding,Provincial government,Canada,Manitoba,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://www.gov.mb.ca/finance/grants/,Manitoba provincial funding entry point across departments,Manitoba-based nonprofits and community groups,Use to discover department-specific calls before applying,2026-04-28
Manitoba Arts Council,Manitoba Arts Council,Grant Programs,Provincial arts council,Canada,Manitoba,Arts and culture,Artists and arts audiences,Arts nonprofit,,Varies,Open,https://artscouncil.mb.ca/grants/,Manitoba arts funding for artists and organizations,Manitoba-based artists arts collectives and arts nonprofits,Programs separated by discipline and career stage,2026-04-28
SaskCulture,SaskCulture Inc,Grant Programs,Provincial cultural agency,Canada,Saskatchewan,Arts and culture,Cultural organizations and artists,Nonprofit or charity,,Varies,Open,https://www.saskculture.ca/funding,Saskatchewan-wide funding for arts heritage and culture,Saskatchewan cultural organizations and community arts groups,Major intake stream is annual with separate emergency support,2026-04-28
Government of Nova Scotia Grants,Government of Nova Scotia,Grants and Funding Search,Provincial government,Canada,Nova Scotia,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://novascotia.ca/business/grants-incentives/,Nova Scotia-wide directory of grants and funding programs,Nova Scotia nonprofits and community groups,Filter by sector to surface relevant active calls,2026-04-28
Arts Nova Scotia,Arts Nova Scotia,Grant Programs,Provincial arts council,Canada,Nova Scotia,Arts and culture,Artists and cultural organizations,Arts nonprofit,,Varies,Open,https://artsns.ca/grants,Provincial arts funder for Nova Scotia,Nova Scotia artists and arts organizations,Programs include project equity touring and skills development,2026-04-28
Government of New Brunswick Funding,Government of New Brunswick,Funding and Grants,Provincial government,Canada,New Brunswick,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://www2.gnb.ca/content/gnb/en/services/services_renderer.0/funding.html,New Brunswick provincial funding opportunities,New Brunswick-based nonprofits and community organizations,Use for cross-departmental discovery and program tracking,2026-04-28
Government of Newfoundland and Labrador Funding,Government of Newfoundland and Labrador,Funding and Grants,Provincial government,Canada,Newfoundland and Labrador,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://www.gov.nl.ca/funding/,NL provincial funding entry point,Newfoundland and Labrador nonprofits and community groups,Often includes department-specific calls and recurring streams,2026-04-28
Government of Prince Edward Island Funding,Government of Prince Edward Island,Funding and Grants Programs,Provincial government,Canada,Prince Edward Island,Multi-sector,General community impact,Nonprofit or charity,,Varies,Open,https://www.princeedwardisland.ca/en/topic/grants-and-funding,PEI provincial funding directory,PEI-based nonprofits and community organizations,Use to track open calls across small but accessible programs,2026-04-28
Government of Yukon Funding,Government of Yukon,Yukon Funding Programs,Territorial government,Canada,Yukon,Multi-sector,Northern communities,Nonprofit or charity,,Varies,Open,https://yukon.ca/en/funding-and-grants,Yukon territorial funding source across sectors,Yukon-based nonprofits and community organizations,Strong fit for northern community development,2026-04-28
Indigenous Services Canada Funding,Indigenous Services Canada,Funding Programs,Federal department,Canada,National,Indigenous services,First Nations Inuit and Metis communities,Indigenous nonprofit,,Varies,Open,https://www.sac-isc.gc.ca/eng/1100100013706/1602704796171,Federal department funding for Indigenous communities and services,First Nations Inuit and Metis-serving organizations and band councils,Wide-ranging funding from infrastructure to social programs,2026-04-28
Crown-Indigenous Relations and Northern Affairs Canada,Crown-Indigenous Relations and Northern Affairs Canada,Funding Programs,Federal department,Canada,National,Indigenous relations,First Nations Inuit and Metis communities,Indigenous nonprofit,,Varies,Open,https://www.rcaanc-cirnac.gc.ca/eng/1100100014172/1611842541009,Federal funding for Indigenous reconciliation and northern affairs,Indigenous governments organizations and northern community groups,Often program-specific with multi-year commitments,2026-04-28
New Relationship Trust,New Relationship Trust,Grant Programs,Indigenous foundation,Canada,British Columbia,Indigenous capacity building,BC First Nations,Indigenous nonprofit,,Varies,Open,https://www.newrelationshiptrust.ca/funding/,BC First Nations capacity-building and community grants,BC First Nations and Indigenous organizations,Strong for governance education and economic development,2026-04-28
NACCA Aboriginal Financial Institutions Network,NACCA,Aboriginal Financial Institutions,Indigenous network,Canada,National,Indigenous economic development,Indigenous entrepreneurs and businesses,Indigenous nonprofit,,Rolling,Open,https://nacca.ca/financing/,Network of Aboriginal Financial Institutions providing financing,Indigenous entrepreneurs and Indigenous-led nonprofits,Use directory to find regionally-relevant financing partners,2026-04-28
The Circle on Philanthropy,The Circle on Philanthropy and Aboriginal Peoples in Canada,Member Programs,Indigenous network,Canada,National,Indigenous philanthropy,First Nations Inuit and Metis communities,Indigenous nonprofit,,Varies,Open,https://www.the-circle.ca/,Network advancing Indigenous philanthropy and partnerships,Indigenous-led organizations and allied funders,Connect to grant-making members rather than direct grants,2026-04-28
McConnell Foundation,J.W. McConnell Family Foundation,Funding Programs,Private foundation,Canada,National,Social innovation,Communities and social systems,Nonprofit or charity,,Varies,Open,https://mcconnellfoundation.ca/,National private foundation focused on social innovation,Nonprofits working on systemic social challenges,Programs include initiatives like RECODE and Solutions Finance,2026-04-28
Lawson Foundation,Lawson Foundation,Grant Programs,Private foundation,Canada,National,Children youth and families,Children and families,Nonprofit or charity,,Varies,Open,https://lawson.ca/grants/,Family foundation supporting early years play and active healthy living,Organizations serving children families and early years,Strong for play-based outdoor and developmental programs,2026-04-28
Maytree Foundation,Maytree,Grants and Programs,Private foundation,Canada,National,Poverty and human rights,Low-income communities,Nonprofit or charity,,Varies,Open,https://maytree.com/grants/,Foundation focused on poverty reduction and human rights,Nonprofits advancing economic and social rights,Funding combined with policy and capacity work,2026-04-28
Catherine Donnelly Foundation,Catherine Donnelly Foundation,Grant Programs,Private foundation,Canada,National,Social and ecological justice,Marginalized communities,Nonprofit or charity,,Varies,Open,https://catherinedonnellyfoundation.ca/grants/,Foundation funding social and ecological justice work,Organizations advancing social or environmental justice,Multiple program priorities including adult education and environment,2026-04-28
Inspirit Foundation,Inspirit Foundation,Grant Programs,Private foundation,Canada,National,Inclusion and pluralism,Diverse communities,Nonprofit or charity,,Varies,Open,https://inspiritfoundation.org/grants/,Foundation supporting inclusion and pluralism initiatives,Organizations focused on inclusion media and youth leadership,Strong fit for inclusion-focused programming,2026-04-28
RBC Foundation Community Investment,RBC Foundation,Community Investment,Corporate foundation,Canada,National,Youth futures and mental wellbeing,Youth and communities,Nonprofit or charity,,Varies,Open,https://www.rbc.com/community-social-impact/,Corporate foundation focused on youth and community wellbeing,Organizations working on youth employment and mental wellbeing,Includes RBC Future Launch and emerging artists support,2026-04-28
TD Ready Commitment,TD Bank Group,TD Ready Commitment Grants,Corporate foundation,Canada,National,Financial security and wellbeing,Communities facing barriers,Nonprofit or charity,,Annual,Open,https://www.td.com/ca/en/about-td/ready-commitment,Corporate community investment program,Charities focused on financial security inclusive futures and vibrant planet,Annual cycle with thematic priority areas,2026-04-28
Bell Lets Talk Community Fund,Bell,Bell Lets Talk Community Fund,Corporate program,Canada,National,Mental health,Communities and youth,Nonprofit or charity,,Annual,Open,https://letstalk.bell.ca/our-funds/community-fund,Annual mental health community grants,Organizations delivering local mental health programs,Application window opens annually with set themes,2026-04-28
Edmonton Community Foundation,Edmonton Community Foundation,Grant Programs,Community foundation,Canada,Alberta,Community development,Edmonton communities,Nonprofit or charity,,Varies,Open,https://ecfoundation.org/grants/,Community foundation for Edmonton-area nonprofits,Organizations serving Edmonton and surrounding communities,Multiple grant streams including community grants and youth funds,2026-04-28
Winnipeg Foundation,The Winnipeg Foundation,Grant Programs,Community foundation,Canada,Manitoba,Community development,Winnipeg communities,Nonprofit or charity,,Varies,Open,https://www.wpgfdn.org/grants/,Community foundation for Winnipeg and Manitoba,Manitoba and Winnipeg-serving nonprofits,Significant assets supporting wide range of community priorities,2026-04-28
Hamilton Community Foundation,Hamilton Community Foundation,Grant Programs,Community foundation,Canada,Ontario,Community development,Hamilton communities,Nonprofit or charity,,Varies,Open,https://hamiltoncommunityfoundation.ca/grants/,Community foundation supporting Hamilton-area nonprofits,Hamilton-based community organizations,Active in poverty reduction education and arts and culture,2026-04-28
EcoAction Community Funding Program,Environment and Climate Change Canada,EcoAction Community Funding,Federal program,Canada,National,Climate and environment,Communities and ecosystems,Nonprofit or charity,100000,Annual,Open,https://www.canada.ca/en/environment-climate-change/services/environmental-funding/ecoaction-community-funding-program.html,Project funding for community-based environmental action,Environmental nonprofits and community-led conservation projects,Annual call typically focused on biodiversity climate or water,2026-04-28
MakeWay Charitable Shared Platform,MakeWay,Charitable Shared Platform and Granting,Public foundation,Canada,National,Environment and Indigenous wellbeing,Communities and ecosystems,Nonprofit or charity,,Rolling,Open,https://makeway.org/,Charitable platform and granting for environment and Indigenous-led work,Conservation groups Indigenous-led initiatives and grassroots projects,Combines flow-through funding with project hosting,2026-04-28
Habitat Stewardship Program,Environment and Climate Change Canada,Habitat Stewardship Program,Federal program,Canada,National,Wildlife conservation,Land stewards and conservation groups,Nonprofit or charity,,Annual,Open,https://www.canada.ca/en/environment-climate-change/services/environmental-funding/habitat-stewardship-program.html,Federal funding for habitat conservation and species at risk,Stewardship organizations and conservation-focused nonprofits,Strong fit for projects supporting species at risk,2026-04-28
Trans Canada Trail Funding,Trans Canada Trail,Trail Funding Programs,Foundation,Canada,National,Recreation and connectivity,Trail communities and users,Nonprofit or charity,,Varies,Open,https://tctrail.ca/funding/,Trail-related funding for community trail infrastructure,Trail organizations and communities along the network,Helps with maintenance signage and accessibility upgrades,2026-04-28
Mental Health Commission of Canada Funding,Mental Health Commission of Canada,Funding and Partnership Opportunities,Federal-affiliated agency,Canada,National,Mental health,Communities and people with lived experience,Nonprofit or charity,,Varies,Open,https://www.mentalhealthcommission.ca/,Mental health system change and community partnership funding,Mental health nonprofits and innovation projects,Often connected to specific cohorts or partnerships,2026-04-28
Heart and Stroke Foundation Research Grants,Heart and Stroke Foundation of Canada,Research Grants and Awards,Foundation,Canada,National,Heart and stroke research,Researchers and patient communities,Nonprofit or charity,,Annual,Open,https://www.heartandstroke.ca/research/research-funding-opportunities,Health research funding for cardiovascular and stroke initiatives,Research-active nonprofits and community-clinical partnerships,Major calls run on annual cycles with clear themes,2026-04-28
Canadian Cancer Society Research Funding,Canadian Cancer Society,Research Funding Programs,Foundation,Canada,National,Cancer research,Researchers and patient communities,Nonprofit or charity,,Annual,Open,https://cancer.ca/en/research/for-researchers/funding-opportunities,Cancer research funding source,Research nonprofits and community-research collaborations,Multiple program streams with distinct review cycles,2026-04-28
RBC Future Launch,RBC,Future Launch Initiatives,Corporate program,Canada,National,Youth employment,Young people facing barriers,Nonprofit or charity,,Annual,Open,https://www.rbc.com/dms/enterprise/futurelaunch/,Youth-focused initiative supporting employment and skills,Organizations working with youth career readiness and skills,Annual challenge calls and ongoing community investment,2026-04-28
Rideau Hall Foundation Programs,Rideau Hall Foundation,Programs and Initiatives,Foundation,Canada,National,Leadership and reconciliation,Communities and youth leaders,Nonprofit or charity,,Varies,Open,https://www.rhf-frh.ca/,Foundation funding leadership reconciliation and innovation initiatives,Organizations advancing learning excellence and reconciliation,Programs run as initiatives rather than open grants,2026-04-28
Mitacs Accelerate,Mitacs,Accelerate Internships,Research nonprofit,Canada,National,Research partnerships,Nonprofits and researchers,Nonprofit or charity,,Rolling,Open,https://www.mitacs.ca/our-programs/accelerate-students-postdocs/,Research internship co-funding for nonprofits and researchers,Nonprofits with academic research partnerships,Rolling intake with cost-share structure,2026-04-28
Innoweave,J.W. McConnell Family Foundation,Innoweave Capacity Building,Capacity-building program,Canada,National,Social innovation capacity,Nonprofits seeking capacity,Nonprofit or charity,,Varies,Open,https://innoweave.ca/,Capacity-building grants and learning for nonprofits,Charities looking to strengthen practices and approaches,Funding for coaching and module-based capacity work,2026-04-28
Imagine Canada Funder Directory,Imagine Canada,Funder Directory and Sector Tools,Sector resource hub,Canada,National,Multi-sector,Nonprofits and charities,Nonprofit or charity,,Rolling,Open,https://imaginecanada.ca/,Sector hub with funder directory and standards programs,All Canadian charities and nonprofits,Use directories rather than applying for direct grants,2026-04-28
Centraide of Greater Montreal,Centraide of Greater Montreal,Funded Agencies and Initiatives,Foundation,Canada,Quebec,Community development,Greater Montreal communities,Nonprofit or charity,,Varies,Open,https://www.centraide-mtl.org/,United Way affiliate funding Montreal-area community nonprofits,Greater Montreal nonprofits aligned with poverty and inclusion priorities,Funded agency relationships are core; project funding more limited,2026-04-28
Calgary Arts Development,Calgary Arts Development,Grant Programs,Local arts council,Canada,Alberta,Arts and culture,Calgary artists and arts organizations,Arts nonprofit,,Varies,Open,https://calgaryartsdevelopment.com/grants/,Arts funding agency for the City of Calgary,Calgary-based arts organizations and individual artists,Multiple streams covering individuals organizations and projects,2026-04-28
